exp_id,index,service_combination,vm_type,cpu_idle,cpu_user,cpu_sys,mem,cache,buffer,procs_running,procs_blocked,load1,load5,load15
265,2,"('payment', 'catalogue')",a1.medium,943.6,167.43,111.4,1363894101.33,1312838314.67,2662400.0,4.75,0.0,0.16,0.29,0.29
266,0,"('payment', 'shipping')",a1.medium,1259.93,226.5,141.32,1240955733.33,1209649834.67,2662400.0,4.75,0.0,0.75,0.69,0.69
266,1,"('payment', 'shipping')",a1.medium,1581.4,282.92,169.59,1248213845.33,1181698901.33,2662400.0,5.58,0.0,0.5,0.64,0.64
266,2,"('payment', 'shipping')",a1.medium,1906.29,336.06,199.25,1255781717.33,1185134250.67,2662400.0,4.33,0.0,0.34,0.65,0.65
267,0,"('payment', 'front-end')",a1.medium,2217.16,389.87,235.42,1298208938.67,1267553280.0,2662400.0,4.96,0.0,0.87,0.85,0.85
267,1,"('payment', 'front-end')",a1.medium,2535.07,438.9,270.31,1317493930.67,1252995925.33,2662400.0,4.13,0.0,1.32,0.84,0.84
267,2,"('payment', 'front-end')",a1.medium,2853.19,488.03,304.27,1313670826.67,1253792256.0,2662400.0,5.13,0.0,0.68,0.95,0.95
1284,0,"('carts', 'orders')",a1.2xlarge,356.51,27.55,7.82,14441004885.33,1329653930.67,2662400.0,6.96,0.0,0.34,0.48,0.48
1411,0,"('carts', 'orders')",M6.2xlarge,351.4,29.54,8.49,31209990144.0,1334650538.67,2662400.0,6.52,0.04,0.95,0.98,0.98
1031,0,"('carts', 'user')",a1.xlarge,307.94,49.18,18.06,6801376597.33,2442472789.33,2662400.0,6.08,0.0,0.61,1.0,1.0
142,0,"('carts', 'user')",t3.small,334.79,79.68,28.18,1086166869.33,972876800.0,544768.0,6.25,0.0,2.29,1.61,1.61
1158,0,"('carts', 'user')",M6.xlarge,321.38,49.82,18.03,15083107498.67,2444252501.33,2662400.0,5.38,0.0,0.57,0.93,0.93
1158,1,"('carts', 'user')",M6.xlarge,677.65,73.23,24.63,15069445120.0,2445610496.0,2662400.0,5.83,0.0,0.41,0.67,0.67
